Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
1(4),Prince Planet,4.40,1.80
2(9),Atum,10.00,3.00
3(8),Lass Vegas,4.60,1.80
4(12),Spinning Dawn,26.00,5.50
5(10),Tony's Reward,2.30,1.33
7(5),Dunderry,15.00,3.50
8(3),Hollywood Rose,17.00,3.75
9(6),Bite The Media,26.00,5.50
10(2),Emo Girl,15.00,3.50
11(7),Bay Truffle,51.00,9.50
12(1),Felicette,31.00,6.50
Race,Race 8 Bathurst
Number,Name,WinPrice,FixedPrice
1(7),Not Wanted,81.00,17.00
2(13),Diamond Charlie,51.00,10.00
3(6),Halberd,7.00,2.38
4(11),Good Verdict,7.00,2.38
5(10),Your Witness,2.80,1.53
7(9),Fiscal Policy,4.40,1.83
9(5),Dragon's Shadow,15.00,3.75
10(1),Eva Jean,9.00,3.00
11(12),Respun,19.00,4.33
12(14),Ellebeedee,19.00,4.33
13(3),Lily's Little Girl,21.00,4.50
14(4),Kormaddie,15.00,3.75
Race Title,Caulfield
Race,Race 1 Caulfield
Number,Name,WinPrice,FixedPrice
1(4),Miles Of Krishan,TF,17.00
2(7),Naantali,TF,2.35
3(8),Ma Jones,TF,5.50
4(6),Crafty Devil,TF,26.00
5(5),Oklahoma Girl,TF,19.00
6(11),Lopartega,TF,34.00
7(2),Miss Siska,TF,5.50
8(3),Remember The Name,TF,5.00
9(9),Seductive Miss,TF,34.00
10(10),Room To Rhyme,TF,26.00
11(1),Tagreeda,TF,23.00
Race,Race 2 Caulfield
Number,Name,WinPrice,FixedPrice
1(8),La Bella Diosa,TF,15.00
2(4),Crystal Fountain,TF,7.50
3(7),Rillito,TF,2.40
4(9),Creativity,TF,4.40
5(5),True Excelsior,TF,5.50
6(6),Overstep,TF,9.50
7(2),Modern Wonder,TF,15.00
8(1),Strykinglee,TF,41.00
9(3),Beyond The Dream,TF,51.00
Race,Race 3 Caulfield
Number,Name,WinPrice,FixedPrice
1(16),Highland Beat,TF,8.50
2(13),Oberland,TF,10.00
3(1),Star Fortune,TF,23.00
4(8),Diamond Oasis,TF,41.00
5(11),Edgewood,TF,101.00
6(14),Nordic Empire,TF,13.00
7(10),A Good Yarn,TF,4.20
8(12),Lord Barrington,TF,14.00
9(5),Carlingford,TF,16.00
10(4),Petite's Reward,TF,34.00
11(9),Bryan,TF,34.00
12(3),Seven Year Reward,TF,6.00
13(6),Bob Of The Head,TF,19.00
14(7),Plutocracy,TF,10.00
15(18),Saxophone,TF,18.00
17(17),Double Jeopardy,TF,10.00
18(15),Spirit Of Aquada,TF,9.00
Race,Race 4 Caulfield
Number,Name,WinPrice,FixedPrice
1(1),Sadaqa,TF,71.00
2(19),Lizard Island,TF,19.00
3(9),Our Peaky Blinders,TF,7.00
4(17),Redefine,TF,7.00
5(18),Anaheim,TF,10.00
6(8),Arkham Knight,TF,13.00
7(11),Got The Goss,TF,21.00
9(3),Wheal Leisure,TF,6.50
10(4),Gold Fields,TF,19.00
12(2),Setinum,TF,21.00
14(12),Divine Mr Artie,TF,26.00
15(10),Wayanka,TF,13.00
16(13),Addison,TF,26.00
17(16),Streets Of Avalon,TF,3.80
20(5),Painte,TF,26.00
Race,Race 5 Caulfield
Number,Name,WinPrice,FixedPrice
1(10),Long Leaf,TF,7.50
2(8),Ollivander,TF,15.00
3(4),Rock Hard,TF,7.50
4(1),The August,TF,5.00
5(6),Native Soldier,TF,5.00
6(5),Tony Nicconi,TF,2.50
7(7),High Ratio,TF,23.00
8(9),Syd's Coin,TF,34.00
9(3),Titan Blinders,TF,34.00
10(2),Taxi,TF,34.00
Race,Race 6 Caulfield
Number,Name,WinPrice,FixedPrice
1(3),Sunlight,TF,3.30
2(18),Thrillster,TF,19.00
4(17),Khulaasa,TF,19.00
5(6),Ennis Hill,TF,26.00
6(7),Qafila,TF,21.00
7(8),Witherspoon,TF,15.00
8(10),Humma Humma,TF,17.00
9(11),Write Enuff,TF,11.00
10(9),Pippie,TF,4.40
11(1),Ray's Dream,TF,34.00
12(12),Sundarbans,TF,34.00
14(14),Fidelia,TF,9.50
15(4),Grand Wish,TF,34.00
16(13),Causeway Girl,TF,19.00
17(2),Casadiva,TF,26.00
18(5),Golden Halo,TF,26.00
19(15),Sweet Rockette,TF,34.00
Race,Race 7 Caulfield
Number,Name,WinPrice,FixedPrice
1(13),Hartnell,TF,6.00
2(2),Black Heart Bart,TF,8.00
3(1),Humidor,TF,18.00
4(10),Boom Time,TF,34.00
5(12),Danon Liberty,TF,9.00
6(3),Big Duke,TF,101.00
7(4),Harlem,TF,34.00
8(15),Jungle Edge,TF,31.00
9(9),Widgee Turf,TF,14.00
10(11),Red Cardinal,TF,41.00
11(14),Kings Will Dream,TF,14.00
12(7),Mighty Boss,TF,11.00
13(6),Grunt,TF,5.50
14(8),Showtime,TF,8.00
15(5),Holy Snow,TF,12.00
